tpb,gpuA,nX,time
384,16.0000,5031936,179.74374313
384,24.0000,5013504,218.36427706
384,32.0000,5031936,258.33061054
384,40.0000,5038080,290.70278009
384,48.0000,5001216,314.59102082
384,56.0000,5013504,337.82682722
384,64.0000,5031936,356.69706644
384,72.0000,4988928,369.55435598
384,80.0000,5068800,389.49395456
448,0.0000,5017600,244.20273682
448,8.0000,5031936,207.29573000
448,16.0000,5017600,173.76105700
448,24.0000,4988928,223.42912261
448,32.0000,5031936,266.31548055
448,40.0000,5017600,298.69657897
448,48.0000,5046272,326.43318649
448,56.0000,4988928,346.38720136
448,64.0000,5031936,368.65847688
448,72.0000,5017600,383.33407470
448,80.0000,5053440,400.63700742
512,0.0000,4997120,241.22720042
512,8.0000,5013504,202.56521817
512,16.0000,4988928,204.19753192
512,24.0000,5046272,230.56349800
512,32.0000,5013504,257.25994212
512,40.0000,4997120,285.41286865
512,48.0000,5046272,314.43562689
512,56.0000,5013504,333.80533274
512,64.0000,5005312,351.36743578
512,72.0000,5046272,370.23501730
512,80.0000,5038080,383.00409819
576,0.0000,5022720,240.65689908
576,8.0000,5031936,200.26919388
576,16.0000,5031936,181.34747469
576,24.0000,5013504,236.60312096
576,32.0000,5059584,282.56259504
576,40.0000,5068800,318.30599857
576,48.0000,5068800,346.89439668
576,56.0000,4976640,364.37415651
576,64.0000,5031936,388.56468976
576,72.0000,5031936,405.69642470
576,80.0000,4976640,415.62450074
640,0.0000,5017600,242.66934821
640,8.0000,5038080,203.02370900
640,16.0000,5017600,173.40698886
640,24.0000,4997120,226.46438271
640,32.0000,5068800,271.64776647
640,40.0000,5017600,301.63358601
640,48.0000,5068800,333.60283290
640,56.0000,5038080,353.78541502
640,64.0000,5058560,376.40322532
640,72.0000,5017600,388.68110804
640,80.0000,5068800,406.84583641
704,0.0000,5012480,237.89395546
704,8.0000,5001216,199.98491091
704,16.0000,5046272,208.21140291
704,24.0000,5046272,272.92034936
704,32.0000,5068800,325.04804456
704,40.0000,5068800,365.66438253
704,48.0000,5080064,399.86318976
704,56.0000,5001216,420.55216749
704,64.0000,4978688,441.78262026
704,72.0000,5046272,468.19622474
704,80.0000,5068800,487.51484451
768,0.0000,5038080,242.07474066
768,8.0000,5013504,197.34148990
768,16.0000,4988928,197.05453712
768,24.0000,5013504,260.26238107
768,32.0000,4976640,306.09551794
768,40.0000,5038080,349.16406767
768,48.0000,5001216,379.84591001
768,56.0000,5013504,404.03396219
768,64.0000,5111808,437.63246083
768,72.0000,4988928,441.81196710
768,80.0000,4976640,459.35068069
